time,sensor,PM1,PM25,PM4,PM10,b0305,b031,b0325,b034,b0310,tsize
2020-06-17 14:06:59,SPS_16D3E0BF6B5E52E8,7.53,8.47,8.89,8.97,51.2,59.35,60.04,60.18,60.21,0.68
2020-06-17 14:08:24,SPS_16D3E0BF6B5E52E8,9.45,10.64,11.17,11.27,64.24,74.48,75.36,75.53,75.57,0.62
2020-06-17 14:09:49,SPS_16D3E0BF6B5E52E8,10.89,14.66,17.2,17.71,68.48,83.14,86.71,87.44,87.55,0.81
2020-06-17 14:11:14,SPS_16D3E0BF6B5E52E8,11.62,13.69,14.82,15.05,77.6,90.9,92.63,92.98,93.04,0.72
2020-06-17 14:12:39,SPS_16D3E0BF6B5E52E8,12.05,13.4,13.92,14.03,82.37,95.22,96.15,96.33,96.37,0.66
2020-06-17 14:14:04,SPS_16D3E0BF6B5E52E8,11.09,11.73,11.73,11.73,77.19,88.29,88.51,88.55,88.57,0.57
2020-06-17 14:15:29,SPS_16D3E0BF6B5E52E8,13.04,17.22,20.0,20.56,82.75,99.91,103.84,104.63,104.77,0.77
2020-06-17 14:16:54,SPS_16D3E0BF6B5E52E8,12.94,15.2,16.43,16.68,86.51,101.28,103.16,103.54,103.61,0.67
2020-06-17 14:18:19,SPS_16D3E0BF6B5E52E8,12.56,15.27,16.88,17.2,82.78,97.73,100.1,100.58,100.66,0.73
2020-06-17 14:19:44,SPS_16D3E0BF6B5E52E8,13.36,15.71,16.98,17.24,89.32,104.57,106.53,106.92,106.99,0.74
2020-06-17 14:21:09,SPS_16D3E0BF6B5E52E8,14.64,17.76,19.6,19.97,96.62,113.99,116.71,117.26,117.36,0.65
2020-06-17 14:22:34,SPS_16D3E0BF6B5E52E8,12.0,14.58,16.11,16.42,79.07,93.35,95.61,96.06,96.15,0.66
2020-06-17 14:23:59,SPS_16D3E0BF6B5E52E8,12.25,13.86,14.6,14.74,83.13,96.48,97.69,97.93,97.98,0.63
2020-06-17 14:25:24,SPS_16D3E0BF6B5E52E8,12.88,15.6,17.21,17.53,85.0,100.26,102.64,103.12,103.2,0.69
2020-06-17 14:26:49,SPS_16D3E0BF6B5E52E8,13.52,15.61,16.68,16.89,91.05,106.15,107.83,108.16,108.22,0.68
2020-06-17 14:28:14,SPS_16D3E0BF6B5E52E8,12.95,16.78,19.28,19.78,82.92,99.57,103.13,103.85,103.97,0.77
2020-06-17 14:29:39,SPS_16D3E0BF6B5E52E8,13.1,15.0,15.93,16.12,88.51,102.99,104.48,104.77,104.83,0.69
2020-06-17 14:31:04,SPS_16D3E0BF6B5E52E8,13.09,18.49,22.25,23.0,80.31,98.96,104.18,105.25,105.42,0.9
2020-06-17 14:32:29,SPS_16D3E0BF6B5E52E8,13.1,13.96,14.04,14.06,90.94,104.18,104.55,104.62,104.64,0.59
2020-06-17 14:33:54,SPS_16D3E0BF6B5E52E8,12.7,16.64,19.24,19.76,80.89,97.44,101.13,101.88,102.0,0.81
2020-06-17 14:35:19,SPS_16D3E0BF6B5E52E8,11.07,13.7,15.32,15.64,72.4,85.87,88.22,88.7,88.78,0.76
2020-06-17 14:36:44,SPS_16D3E0BF6B5E52E8,11.32,14.38,16.33,16.72,73.13,87.35,90.15,90.72,90.81,0.75
2020-06-17 14:38:09,SPS_16D3E0BF6B5E52E8,13.11,19.34,23.78,24.67,78.46,98.14,104.26,105.51,105.7,0.82
