time,sensor,PM1,PM25,PM4,PM10,b0305,b031,b0325,b034,b0310,tsize
2020-06-17 14:08:18,SPS_28EA06A7A2140F1A,9.29,11.07,12.08,12.29,59.85,72.52,74.09,74.32,74.37,0.7
2020-06-17 14:09:43,SPS_28EA06A7A2140F1A,13.05,18.17,21.71,22.42,78.94,99.34,103.9,104.66,104.79,0.71
2020-06-17 14:11:08,SPS_28EA06A7A2140F1A,12.43,16.09,18.48,18.95,77.58,95.79,99.04,99.57,99.66,0.62
2020-06-17 14:12:33,SPS_28EA06A7A2140F1A,10.44,13.16,14.87,15.21,65.86,80.8,83.21,83.59,83.66,0.71
2020-06-17 14:13:58,SPS_28EA06A7A2140F1A,12.43,14.36,15.35,15.55,80.91,97.4,99.1,99.34,99.39,0.58
2020-06-17 14:15:23,SPS_28EA06A7A2140F1A,13.73,17.46,19.84,20.31,86.24,106.04,109.35,109.88,109.98,0.67
2020-06-17 14:16:48,SPS_28EA06A7A2140F1A,14.56,18.35,20.75,21.23,91.76,112.6,115.97,116.5,116.6,0.59
2020-06-17 14:18:13,SPS_28EA06A7A2140F1A,15.05,18.64,20.84,21.28,95.57,116.78,119.96,120.45,120.54,0.64
2020-06-17 14:19:38,SPS_28EA06A7A2140F1A,14.08,18.93,22.2,22.86,86.44,107.77,112.08,112.79,112.92,0.71
2020-06-17 14:21:03,SPS_28EA06A7A2140F1A,14.48,20.96,25.53,26.44,85.97,109.38,115.16,116.13,116.3,0.82
2020-06-17 14:22:28,SPS_28EA06A7A2140F1A,15.95,23.14,28.21,29.22,94.65,120.5,126.9,127.98,128.17,0.8
2020-06-17 14:23:53,SPS_28EA06A7A2140F1A,12.17,16.54,19.51,20.11,74.4,93.02,96.91,97.55,97.66,0.71
2020-06-17 14:25:18,SPS_28EA06A7A2140F1A,12.87,15.86,17.68,18.05,81.87,99.94,102.58,102.99,103.07,0.62
2020-06-17 14:26:43,SPS_28EA06A7A2140F1A,13.66,17.19,19.42,19.86,86.18,105.71,108.84,109.33,109.43,0.72
2020-06-17 14:28:08,SPS_28EA06A7A2140F1A,12.61,16.44,18.95,19.45,78.47,97.07,100.47,101.01,101.11,0.67
2020-06-17 14:29:33,SPS_28EA06A7A2140F1A,14.96,19.94,23.28,23.95,92.17,114.66,119.1,119.82,119.95,0.7
2020-06-17 14:30:58,SPS_28EA06A7A2140F1A,13.71,19.73,23.96,24.81,81.63,103.69,109.05,109.96,110.11,0.74
2020-06-17 14:32:23,SPS_28EA06A7A2140F1A,15.56,21.2,25.04,25.81,95.0,118.85,123.87,124.7,124.84,0.79
2020-06-17 14:33:48,SPS_28EA06A7A2140F1A,12.83,15.69,17.41,17.75,81.86,99.75,102.27,102.66,102.74,0.69
2020-06-17 14:35:13,SPS_28EA06A7A2140F1A,12.57,17.19,20.34,20.97,76.6,95.92,100.03,100.71,100.83,0.7
