time,sensor,PM1,PM25,PM4,PM10,b0305,b031,b0325,b034,b0310,tsize
2020-06-17 14:08:22,SPS_7E45B0645790C8B0,9.47,11.41,12.55,12.77,62.53,73.8,75.49,75.82,75.87,0.75
2020-06-17 14:09:47,SPS_7E45B0645790C8B0,11.93,12.86,13.06,13.1,82.24,94.67,95.17,95.26,95.28,0.64
2020-06-17 14:11:12,SPS_7E45B0645790C8B0,10.38,10.98,10.98,10.98,72.08,82.65,82.85,82.88,82.9,0.57
2020-06-17 14:12:37,SPS_7E45B0645790C8B0,13.8,17.28,19.46,19.89,89.65,106.82,109.98,110.6,110.7,0.77
2020-06-17 14:14:02,SPS_7E45B0645790C8B0,14.32,21.1,25.93,26.89,85.71,107.21,113.9,115.23,115.43,0.87
2020-06-17 14:15:27,SPS_7E45B0645790C8B0,12.1,15.07,16.92,17.29,78.74,93.7,96.39,96.92,97.01,0.74
2020-06-17 14:16:52,SPS_7E45B0645790C8B0,14.01,20.26,24.67,25.55,84.7,105.28,111.42,112.64,112.83,0.86
2020-06-17 14:18:17,SPS_7E45B0645790C8B0,14.71,16.68,17.59,17.77,99.57,115.84,117.34,117.63,117.68,0.63
2020-06-17 14:19:42,SPS_7E45B0645790C8B0,13.04,15.34,16.61,16.86,86.93,102.01,103.95,104.32,104.39,0.77
2020-06-17 14:21:07,SPS_7E45B0645790C8B0,14.95,18.13,20.01,20.39,98.47,116.38,119.18,119.72,119.81,0.67
2020-06-17 14:22:32,SPS_7E45B0645790C8B0,13.31,14.29,14.47,14.5,91.93,105.72,106.22,106.3,106.33,0.6
2020-06-17 14:23:57,SPS_7E45B0645790C8B0,13.98,16.61,18.09,18.38,92.84,109.18,111.43,111.86,111.94,0.71
2020-06-17 14:25:22,SPS_7E45B0645790C8B0,12.74,14.9,16.06,16.29,85.16,99.79,101.58,101.92,101.98,0.73
2020-06-17 14:26:47,SPS_7E45B0645790C8B0,14.3,16.47,17.57,17.79,96.15,112.27,114.01,114.34,114.41,0.73
2020-06-17 14:28:12,SPS_7E45B0645790C8B0,14.54,17.51,19.24,19.58,96.06,113.33,115.91,116.42,116.5,0.71
2020-06-17 14:29:37,SPS_7E45B0645790C8B0,13.93,15.79,16.64,16.81,94.3,109.7,111.11,111.38,111.43,0.67
2020-06-17 14:31:02,SPS_7E45B0645790C8B0,13.19,15.36,16.51,16.74,88.29,103.36,105.14,105.49,105.55,0.68
2020-06-17 14:32:27,SPS_7E45B0645790C8B0,13.22,15.61,16.92,17.18,88.06,103.41,105.42,105.81,105.87,0.7
2020-06-17 14:33:52,SPS_7E45B0645790C8B0,13.93,16.52,17.97,18.26,92.61,108.87,111.07,111.5,111.57,0.68
2020-06-17 14:35:17,SPS_7E45B0645790C8B0,13.97,20.39,24.92,25.83,84.12,104.86,111.16,112.42,112.61,0.87
2020-06-17 14:36:42,SPS_7E45B0645790C8B0,12.48,15.3,17.01,17.35,81.82,96.97,99.48,99.97,100.05,0.76
2020-06-17 14:38:07,SPS_7E45B0645790C8B0,12.25,13.96,14.78,14.94,82.73,96.36,97.69,97.94,97.99,0.63
2020-06-17 14:39:32,SPS_7E45B0645790C8B0,12.72,16.51,18.98,19.47,81.3,97.8,101.33,102.03,102.14,0.76
2020-06-17 14:40:57,SPS_7E45B0645790C8B0,12.65,16.45,18.93,19.43,80.8,97.24,100.79,101.49,101.6,0.74
2020-06-17 14:42:22,SPS_7E45B0645790C8B0,11.93,15.54,17.9,18.37,76.13,91.66,95.04,95.7,95.81,0.77
2020-06-17 14:43:47,SPS_7E45B0645790C8B0,11.96,13.45,14.1,14.23,81.2,94.3,95.4,95.61,95.65,0.65
2020-06-17 14:45:12,SPS_7E45B0645790C8B0,12.81,18.24,22.03,22.79,78.19,96.67,101.96,103.01,103.17,0.78
2020-06-17 14:46:37,SPS_7E45B0645790C8B0,12.15,13.66,14.31,14.44,82.51,95.82,96.93,97.14,97.18,0.71
2020-06-17 14:48:02,SPS_7E45B0645790C8B0,11.97,15.37,17.57,18.01,76.83,92.16,95.32,95.94,96.04,0.78
2020-06-17 14:49:27,SPS_7E45B0645790C8B0,12.43,14.98,16.46,16.76,82.07,96.85,99.07,99.5,99.58,0.73
2020-06-17 14:50:52,SPS_7E45B0645790C8B0,11.53,13.73,14.97,15.22,76.51,90.03,91.91,92.28,92.34,0.71
2020-06-17 14:52:17,SPS_7E45B0645790C8B0,11.99,14.34,15.69,15.96,79.44,93.57,95.6,95.99,96.06,0.68
2020-06-17 14:53:42,SPS_7E45B0645790C8B0,12.26,15.03,16.71,17.04,80.38,95.25,97.72,98.2,98.28,0.63
2020-06-17 14:55:07,SPS_7E45B0645790C8B0,12.53,15.03,16.46,16.75,82.94,97.75,99.91,100.33,100.4,0.72
2020-06-17 14:56:32,SPS_7E45B0645790C8B0,11.88,14.58,16.22,16.55,77.8,92.24,94.65,95.12,95.2,0.65
2020-06-17 14:57:57,SPS_7E45B0645790C8B0,11.59,13.66,14.79,15.02,77.25,90.68,92.41,92.75,92.81,0.64
2020-06-17 14:59:22,SPS_7E45B0645790C8B0,12.0,13.12,13.48,13.55,82.28,95.0,95.71,95.84,95.87,0.67
2020-06-17 15:00:47,SPS_7E45B0645790C8B0,12.97,13.71,13.71,13.71,90.03,103.23,103.49,103.52,103.54,0.54
2020-06-17 15:02:12,SPS_7E45B0645790C8B0,12.95,15.21,16.43,16.68,86.44,101.37,103.26,103.62,103.69,0.72
2020-06-17 15:03:37,SPS_7E45B0645790C8B0,13.82,15.83,16.81,17.01,93.15,108.62,110.2,110.5,110.56,0.64
2020-06-17 15:05:02,SPS_7E45B0645790C8B0,13.74,16.21,17.57,17.84,91.56,107.49,109.57,109.97,110.04,0.63
2020-06-17 15:06:27,SPS_7E45B0645790C8B0,12.38,14.39,15.44,15.64,83.01,97.11,98.75,99.06,99.12,0.7
2020-06-17 15:07:52,SPS_7E45B0645790C8B0,12.27,15.83,18.14,18.6,78.66,94.46,97.77,98.43,98.53,0.69
2020-06-17 15:09:17,SPS_7E45B0645790C8B0,14.51,17.91,19.99,20.41,94.87,112.62,115.67,116.26,116.36,0.68
2020-06-17 15:10:42,SPS_7E45B0645790C8B0,14.93,18.97,21.54,22.06,96.36,115.25,118.96,119.69,119.81,0.67
2020-06-17 15:12:07,SPS_7E45B0645790C8B0,12.74,13.47,13.47,13.47,88.43,101.39,101.65,101.68,101.7,0.56
2020-06-17 15:13:32,SPS_7E45B0645790C8B0,13.1,14.9,15.74,15.91,88.52,103.07,104.45,104.71,104.76,0.72
