time,sensor,PM1,PM25,PM4,PM10,b0305,b031,b0325,b034,b0310,tsize
2020-06-17 14:08:20,SPS_85840F186C351939,10.5,12.15,13.0,13.17,69.3,82.38,83.76,83.99,84.03,0.64
2020-06-17 14:09:45,SPS_85840F186C351939,10.99,13.06,14.22,14.45,71.72,85.81,87.6,87.9,87.95,0.68
2020-06-17 14:11:10,SPS_85840F186C351939,12.64,14.65,15.68,15.89,83.37,99.13,100.82,101.09,101.15,0.59
2020-06-17 14:12:35,SPS_85840F186C351939,11.95,14.25,15.55,15.81,77.91,93.29,95.29,95.62,95.68,0.57
2020-06-17 14:14:00,SPS_85840F186C351939,13.28,16.1,17.76,18.09,85.97,103.37,105.85,106.27,106.34,0.65
2020-06-17 14:15:25,SPS_85840F186C351939,15.18,17.42,18.53,18.75,100.46,119.19,121.05,121.35,121.41,0.64
2020-06-17 14:16:50,SPS_85840F186C351939,14.91,19.56,22.63,23.24,93.2,114.49,118.76,119.51,119.64,0.74
2020-06-17 14:18:15,SPS_85840F186C351939,15.59,17.61,18.52,18.7,103.83,122.74,124.37,124.62,124.67,0.6
2020-06-17 14:19:40,SPS_85840F186C351939,16.34,18.33,19.17,19.34,109.08,128.74,130.31,130.55,130.61,0.55
2020-06-17 14:21:05,SPS_85840F186C351939,14.62,17.02,18.28,18.53,96.2,114.53,116.56,116.89,116.95,0.6
2020-06-17 14:22:30,SPS_85840F186C351939,16.07,19.25,21.09,21.45,104.53,125.32,128.1,128.56,128.65,0.66
2020-06-17 14:23:55,SPS_85840F186C351939,14.64,17.37,18.9,19.21,95.59,114.33,116.7,117.09,117.17,0.63
2020-06-17 14:25:20,SPS_85840F186C351939,15.87,21.98,26.18,27.02,96.62,120.66,126.36,127.37,127.54,0.76
2020-06-17 14:26:45,SPS_85840F186C351939,14.78,17.42,18.87,19.16,96.76,115.54,117.81,118.19,118.26,0.63
2020-06-17 14:28:10,SPS_85840F186C351939,15.08,17.92,19.52,19.84,98.44,117.78,120.24,120.65,120.72,0.61
2020-06-17 14:29:35,SPS_85840F186C351939,15.95,20.64,23.69,24.29,100.37,122.81,127.09,127.84,127.97,0.69
2020-06-17 14:31:00,SPS_85840F186C351939,16.88,19.3,20.47,20.71,111.89,132.63,134.63,134.94,135.01,0.56
